排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
970,乱马1/2,TV,12,2024-10-05,宇田鋼之介,うえのきみこ、安藤えりか、森江美咲,林原めぐみ、山口勝平、日髙のり子、高山みなみ、井上喜久子、大塚明夫、チョー、山寺宏一、佐久間レイ、杉田智和、佐倉綾音、森川智之、宮野真守、悠木碧、山寺宏一、関智一、冨岡美沙子、神本綾華、大下菜摘、奥村翔、浜田洋平、緒方賢一、青耶木まゆ,7.5,5868,https://lain.bgm.tv/r/400/pic/cover/l/13/a3/489820_Hre3R.jpg,https://bangumi.tv/subject/489820
971,胆大党,TV,12,2024-10-03,山代風我,瀬古浩司,花江夏樹、喬資淯、张沛、张桐铭、若山詩音、刘十四、曾允凡、佐倉綾音、蔡书瑾、穆宣名、石川界人、徐翔、賴緯、田中真弓、陶敏嫻、小N、水樹奈々、穆雪婷、傅其慧、中井和哉、冷泉夜月、宋克軍、大友龍三郎、林谷珍、井上喜久子、錢欣郁、徐慧、関智一、賈文安、大白siro、杉田智和、杨富禄、陳彥鈞、平野文、陶敏嫻、富田美憂、錢欣郁、前田佳織里、傅其慧、王愫稣、山根綺、錢欣郁、依田菜津、傅其慧、大空直美、陶敏嫻、たかはし智秋、錢欣郁、周玢、斎藤志郎、陳彥鈞、真木駿一、菊池通武、佐々木祐介、玉井勇輝、木野日菜、傅其慧、高橋大輔、陳彥鈞,7.5,16312,https://lain.bgm.tv/r/400/pic/cover/l/44/7d/467461_HHw4K.jpg,https://bangumi.tv/subject/467461
972,机动战士高达 雷霆宙域,WEB,4,2015-12-25,松尾衡,松尾衡,中村悠一、木村良平、行成とあ、平川大輔、森田了介、咲野俊介、土田大、大原さやか、浜添伸也、佐々木睦、村田太志、河本啓佑、岩瀬周平、伊東健人,7.5,2110,https://lain.bgm.tv/r/400/pic/cover/l/d7/e5/151345_KK6YQ.jpg,https://bangumi.tv/subject/151345
973,玉响～more aggressive～,TV,12,2013-07-03,佐藤順一,佐藤順一、吉田玲子、山田由香、ハラダサヤカ,竹達彩奈、阿澄佳奈、井口裕香、儀武ゆう子、茅野愛衣、葉月絵理乃、大原さやか、宮本佳那子、寿美菜子、広橋涼、福井裕佳梨、東山奈央、間島淳司、西村ちなみ、緒方恵美、松尾佳子、中田譲治、松来未祐,7.5,1365,https://lain.bgm.tv/r/400/pic/cover/l/26/f9/45213_yA97f.jpg,https://bangumi.tv/subject/45213
974,翼神传说,TV,26,2002-01-21,出渕裕,出渕裕、高山文彦、桐生祐狩、榎戸洋司、大河内一楼、會川昇、小中千昭、大野木寛、磯光雄,坂本真綾、久川綾、下野紘、桑島法子、川澄綾子、野島裕史、橋本一子、大塚芳忠、宮田幸季、宮本充、平松晶子、田中敦子、内海賢二、家弓家正、兵藤まこ、折笠富美子、杉本ゆう、中田譲治、朴璐美、関俊彦、かかずゆみ、浅川悠,7.5,1555,https://lain.bgm.tv/r/400/pic/cover/l/e5/15/1030_J9799.jpg,https://bangumi.tv/subject/1030
975,宝可梦 超世代,TV,192,2002-11-21,日高政光、須藤典彦,武上純希、米村正二、大橋志吉、冨岡淳広、藤田伸三、松井亜弥、十川誠志、園田英樹,大谷育江、松本梨香、KAORI.、林原めぐみ、伊東みやこ、犬山イヌコ、西村ちなみ、伊東みやこ、伊東みやこ、伊東みやこ、伊東みやこ、白鳥由里、氷青、林美秀、杉山佳寿子、千葉進歩、立木文彦、飯塚雅弓、小林優子、林原めぐみ、堀川仁,7.5,1618,https://lain.bgm.tv/r/400/pic/cover/l/e4/a9/3020_hH3U4.jpg,https://bangumi.tv/subject/3020
976,RAINBOW 少年犯之七人,TV,26,2010-04-06,神志那弘志,筆安一幸、高屋敷英夫、広田光毅,小栗旬、小山力也、貫地谷しほり、荒井ひな、豊口めぐみ,7.5,1359,https://lain.bgm.tv/r/400/pic/cover/l/3e/19/4283_Z0LWE.jpg,https://bangumi.tv/subject/4283
977,无敌级Believer,未知,1,2020-07-29,河村智之,矢立肇、横田拓己,相良茉優,7.5,442,https://lain.bgm.tv/r/400/pic/cover/l/b8/b5/311809_2j231.jpg,https://bangumi.tv/subject/311809
978,鲁邦三世  第一期,TV,23,1971-10-24,モンキー・パンチ（週刊漫画アクション連載）,松岡清治、宮田雪、田村多津夫、大和屋竺、山崎忠昭、吉川惣司,山田康雄、二階堂有希子、小林清志、大塚周夫、納谷悟朗,7.5,530,https://lain.bgm.tv/r/400/pic/cover/l/33/d2/24274_obiN2.jpg,https://bangumi.tv/subject/24274
979,魔法使光之美少女！,TV,50,2016-02-07,東堂いづみ,村山功、山下憲一、伊藤睦美、坪田文、井上亜樹子,高橋李依、堀江由衣、齋藤彩夏、早見沙織、内田夕夜、鳳芳野、加藤有生子、太地琴恵、遊佐浩二、島田岳洋、名塚佳織、小林ゆう、新井里美、秋元羊介、中田譲治、金田アキ、吉岡麻耶、橋本ちなみ、菊地美香、多田このみ、髙橋孝治、朝井彩加、桜井敏治、織田圭祐、石井真、木村雅史、鈴木裕斗、千田光男、川澄綾子、青木強、藤沼建人、小原雅人、岩男潤子、小林桂子、澤田美晴、大空直美、ニーコ、高戸靖広、龍田直樹、速水奨、井上喜久子、杉山紀彰、美山加恋,7.5,715,https://lain.bgm.tv/r/400/pic/cover/l/8d/52/159826_k1X1J.jpg,https://bangumi.tv/subject/159826
980,南方公园剧场版,剧场版,1,1999,Trey、Parker、Matt、Stone,Trey Parker、Pam Brady、Matt Stone,,7.6,171,https://lain.bgm.tv/r/400/pic/cover/l/13/07/60493_Oi3sa.jpg,https://bangumi.tv/subject/60493
981,头脑特工队,剧场版,1,2015-06-19,Pete、Docter,Pete Docter、Josh Cooley,,7.5,2522,https://lain.bgm.tv/r/400/pic/cover/l/b7/5b/119035_7Iikg.jpg,https://bangumi.tv/subject/119035
982,第六届东方M-1漫才大赛,OVA,1,2011-12-30,上海アリス幻樂団,,藤宮もな、佐藤ねこ丸、杜秋乃、らんてぃ、山口瑞樹、ヒナコ、音鳴ころね、ヒナコ、雪宮あかね、ゆっきん、春李めぐみ、藤宮ゆき、和龍之介、杜秋乃、和龍之介、音鳴ころね、豆太郎、ヒナコ、金子未佳、佐藤ねこ丸、豆太郎、らんてぃ,7.5,255,https://lain.bgm.tv/r/400/pic/cover/l/2e/62/29889_C2QHh.jpg,https://bangumi.tv/subject/29889
983,闪电十一人,TV,127,2008-10-05,秋山勝仁、宮尾佳和、秋山勝仁,冨岡淳広、樋口達人、稲荷昭彦、山田健一、大野木寛,竹内順子、吉野裕行、野島裕史、西墻由香、梶裕貴、梶裕貴、宮野真守、三瓶由布子、奈良徹,7.5,674,https://lain.bgm.tv/r/400/pic/cover/l/5c/15/3773_PNNv2.jpg,https://bangumi.tv/subject/3773
984,白熊咖啡馆,TV,50,2012-04-05,増原光幸,吉田玲子、細川徹、横手美智子、浅川美也,福山潤、櫻井孝宏、神谷浩史、宮野真守、小野大輔、遠藤綾、中村悠一、羽多野渉、川島得愛、森川智之、小西克幸、谷山紀章、宮田幸季、青木瑠璃子、高森奈津美,7.5,2730,https://lain.bgm.tv/r/400/pic/cover/l/e5/f6/32318_qc25q.jpg,https://bangumi.tv/subject/32318
985,驭星者 闪亮的拓人,TV,25,2010-10-03,五十嵐卓哉,榎戸洋司,宮野真守、福山潤、早見沙織、戸松遥、石田彰、日高里菜、広橋涼、小清水亜美、千葉千恵巳、新名彩乃、赤羽根健治、竹達彩奈、坂本真綾、斎賀みつき、ゆかな、田中冴树、桑島法子、三木眞一郎、加藤英美里、髙木俊、杉山大、東山奈央、牛田裕子、飛田展男、鈴村健一、木村良平、梶裕貴、斎藤千和、折笠富美子,7.5,3072,https://lain.bgm.tv/r/400/pic/cover/l/d8/63/7348_2Ciub.jpg,https://bangumi.tv/subject/7348
986,银魂. 走光篇,TV,13,2017-10-01,宮脇千鶴,立原正輝、岸本卓、松原秀,広橋涼、田村ゆかり、石野竜三,7.5,1610,https://lain.bgm.tv/r/400/pic/cover/l/d3/e2/218740_6OyMl.jpg,https://bangumi.tv/subject/218740
987,魔卡少女樱 香港之旅,剧场版,1,1999-08-21,浅香守生,大川七瀬,丹下桜、許淑嬪、くまいもとこ、賀世芳、小野坂昌也、久川綾、官志宏、賀世芳、岩男潤子、魏晶琦、三石琴乃、ゆかな、謝佼娟、林原めぐみ,7.5,2706,https://lain.bgm.tv/r/400/pic/cover/l/7a/f6/1941_0l5Uy.jpg,https://bangumi.tv/subject/1941
988,银翼杀手：2022大断电,WEB,1,2017-09-27,渡辺信一郎,渡辺信一郎,松田健一郎、青葉市子、古川慎,7.5,1720,https://lain.bgm.tv/r/400/pic/cover/l/e0/63/225801_Khz9n.jpg,https://bangumi.tv/subject/225801
989,排球少年！！垃圾场决战,剧场版,1,2024-02-16,満仲勧,満仲勧,村瀬歩、李明幸、锦鲤、石川界人、鍾少庭、谷江山、梶裕貴、曾莉婷、喬資淯、苏尚卿、小松由佳、中村悠一、杨天翔、林谷珍、楊慧玉、日野聡、郭浩然、林谷珍、入野自由、孙路路、張敦喻、細谷佳正、鈕凱暘、瞳音、林勇、鈕凱暘、胡霖、岡本信彦、鍾少庭、郝祥海、内山昂輝、張敦喻、金弦、斉藤壮馬、李兰陵、林谷珍、増田俊樹、张福正、翁瑞陽、相楽信頼、杨凯祺、鍾少庭、西山宏太朗、翁瑞陽、名塚佳織、钱琛、楊慧玉、諸星すみれ、赵爽、曾莉婷、神谷浩史、鈕凱暘、星潮、江川央生、張敦喻、胡亚捷、中博史、梁興昌、林强、立花慎之介、鍾少庭、大昕、石井マーク、張敦喻、邵彤、星野貴紀、翁瑞陽、横田成吾、文靖渊、張敦喻、澤田龍一、翁瑞陽、兰陶倚、池田恭祐、賴緯、姜秋再、渡辺拓海、邓宥希、汐谷文康、鍾少庭、杨凯祺、福田信昭、刘琮、林谷珍、山本兼平、林谷珍、苗壮、M・A・O、楊慧玉、傅婷云、富田美憂、曾莉婷、前野智昭、刘明月、鈕凱暘、阪口周平、翁瑞陽、付博文、櫻井孝宏、刘思岑、鍾少庭、小松由佳、徐佳琦、楊慧玉、木村良平、張敦喻、赵毅、逢坂良太、鍾少庭、凌飞、木村昴、陈张太康、鍾少庭、土屋神葉、翁瑞陽、興津和幸、凌振赫、梁興昌、美山加恋、聂曦映、楊慧玉、松田修平、音匣老鬼、鈴木千尋、卢力峰、山口正秀、杨凯祺、花江夏樹、江志倫、杨昕燃、中尾隆聖、李昊甲、富樫美鈴、丸山有香、高橋伸也,7.5,2668,https://lain.bgm.tv/r/400/pic/cover/l/e9/65/394621_Tl4ZX.jpg,https://bangumi.tv/subject/394621
990,明天，美食广场见。,TV,6,2025-07-07,古賀一臣,花田十輝,宮崎ヒヨリ、青山吉能、早見沙織、日高里菜、松岡禎丞、福山潤,7.5,6719,https://lain.bgm.tv/r/400/pic/cover/l/0d/5b/528438_cyCPQ.jpg,https://bangumi.tv/subject/528438
991,银河英雄传说外传 千亿的星辰、千亿的光芒,OVA,12,1998-09-26,田中芳樹(徳間書店刊),田原正利,広中雅志、郷田ほづみ、森功至、若本規夫、勝生真沙子、柴田秀勝、郷里大輔、納谷悟朗、潘恵子、阪脩、横尾まり、池田秀一、村松康雄、井上和彦、羽佐間道夫、政宗一成、小杉十郎太、難波圭一、大木民夫、富田耕生、関智一、野田圭一、古川登志夫、キートン山田、石森達幸、梅津秀行,7.6,223,https://lain.bgm.tv/r/400/pic/cover/l/31/e4/79662_fuBBt.jpg,https://bangumi.tv/subject/79662
992,乐园追放 -Expelled From Paradise-,剧场版,1,2014-11-15,水島精二,虚淵玄,釘宮理恵、三木眞一郎、神谷浩史、林原めぐみ、高山みなみ、三石琴乃、古谷徹、安済知佳、森下由樹子,7.5,6018,https://lain.bgm.tv/r/400/pic/cover/l/7b/92/37395_lY65E.jpg,https://bangumi.tv/subject/37395
993,摇曳百合 夏日时光！+,TV,2,2015-08-20,畑博之,深見真、畑博之,三上枝織、大坪由佳、津田美波、大久保瑠美、藤田咲、豊崎愛生、三森すずこ、加藤英美里、後藤沙緒里、斎藤千和、日高里菜、堀江由衣,7.5,2829,https://lain.bgm.tv/r/400/pic/cover/l/6b/d7/136311_N51T6.jpg,https://bangumi.tv/subject/136311
994,向阳素描 特别篇,OVA,2,2007-10-18,上坪亮樹、飯村正之,与口奈津江、長谷川菜穂子,阿澄佳奈、水橋かおり、後藤邑子、新谷良子、松来未祐、チョー、沢城みゆき、福圓美里、木川絵理子、蒼樹うめ,7.5,931,https://lain.bgm.tv/r/400/pic/cover/l/13/7f/9642_5FD55.jpg,https://bangumi.tv/subject/9642
995,名侦探柯南 通往天国的倒数计时,剧场版,1,2001-04-21,こだま兼嗣,古内一成,高山みなみ、丘梅君、山口勝平、劉傑、山崎和佳奈、賀世芳、林原めぐみ、許雲雲、神谷明、袁光麟、井上和彦、康殿宏、岩居由希子、高木渉、劉傑、高木渉、袁光麟、大谷育江、賀世芳、堀之紀、李景唐、立木文彦、袁光麟、茶風林、李景唐、緒方賢一、陳宗岳、松井菜桜子、藤田淑子、許雲雲、渡部猛、陳宗岳、久川綾、丘梅君、橋本晃一、李景唐、小杉十郎太、康殿宏、中嶋聡彦、玉川砂記子、千葉一伸、劉傑、菅原淳一、李景唐、永井一郎、袁光麟,7.5,5612,https://lain.bgm.tv/r/400/pic/cover/l/af/44/2971_8DZCH.jpg,https://bangumi.tv/subject/2971
996,猫头鹰魔法社 第三季,剧场版,3,2022-10-15,AmeliaLorenz、BosookCoburn,,Erica Lindbeck、Kimberly Brooks、Mela Lee、Cissy Jones,7.8,63,https://lain.bgm.tv/r/400/pic/cover/l/99/5c/413594_SzwWs.jpg,https://bangumi.tv/subject/413594
997,嘟嘟猫观察日记,TV,52,2012-01-08,大地丙太郎,,大谷育江、三森すずこ、市瀬秀和、千葉芙美香、室元気、神谷明、三宅麻理恵、千葉芙美香、室元気,7.5,744,https://lain.bgm.tv/r/400/pic/cover/l/32/4e/23537_deaDg.jpg,https://bangumi.tv/subject/23537
998,此花绮谭,TV,12,2017-10-04,岡本英樹,吉岡たかを,大野柚布子、秦佐和子、諏訪彩花、保科李沙、加隈亜衣、沼倉愛美、緒方恵美、大原さやか、渡辺明乃、天乃咲哉、持月玲依、池辺久美子、齋藤小浪、白城なお,7.5,4990,https://lain.bgm.tv/r/400/pic/cover/l/ab/fd/211934_HHeOH.jpg,https://bangumi.tv/subject/211934
999,机动战士Z高达Ⅲ A New Translation -星辰的鼓动是爱-,剧场版,1,2006-03-04,富野由悠季,富野由悠季,鈴置洋孝、飛田展男、池田秀一、島田敏、郷里大輔、榊原良子、小杉十郎太、岡本麻弥、新井里美、勝生真沙子、島村香織、西村知道、大塚芳忠、大川透、浪川大輔、相田さやか、新井里美、小松由佳,7.5,869,https://lain.bgm.tv/r/400/pic/cover/l/2d/b2/18779_leD90.jpg,https://bangumi.tv/subject/18779
1000,最终幻想7：降临之子 完全版,OVA,1,2024-01-19,野村哲也,野島一成,櫻井孝宏、伊藤歩、森久保祥太郎、藤原啓治、かかずゆみ、市村正親、森川智之、大川透、楠大典、岸祐二、乃村健次、鈴木省吾、小林正寛、山路和弘、石川英郎、諸星すみれ、池田恭祐、諏訪部順一、豊口めぐみ、銀河万丈、坂本真綾、鈴村健一,7.5,333,https://lain.bgm.tv/r/400/pic/cover/l/56/a6/356474_GRGHA.jpg,https://bangumi.tv/subject/356474
1001,星界的战旗,TV,13,2000-04-14,長岡康史,真喜屋力、竹田裕一郎,川澄綾子、今井由香、塩沢兼人、小杉十郎太、清水香里、大塚明夫、千葉進歩、井上和彦、深見梨加、斎賀みつき、山田美穂、鈴鹿千春、子安武人,7.5,515,https://lain.bgm.tv/r/400/pic/cover/l/3d/a9/9617_zyLSw.jpg,https://bangumi.tv/subject/9617
1002,恋如雨止,TV,12,2018-01-11,渡辺歩,木戸雄一郎、三重野瞳、梅原英司,渡部紗弓、平田広明、宮島えみ、福原遥、池田純矢、前野智昭、かないみか、矢部雅史、竹内順子、茂呂田かおる、沢城千春、古川由利奈、宮本充、小澤亜李、小堀幸、春野杏、村井雄治、岩瀬周平、村井雄治、宮島えみ、本多真梨子、古川由利奈、藤田茜、富樫美鈴、春野杏、小澤亜李、春野杏、野川雅史、小堀幸、財満健太、山口智広、西村知道、小堀幸、古川由利奈、木野日菜、村井雄治、富樫美鈴、小澤亜李、小堀幸、古川由利奈、若山晃久、財満健太、村井雄治、山口智広、沢城千春、村井雄治、財満健太、小澤亜李、小堀幸、古川由利奈、山口智広,7.5,5088,https://lain.bgm.tv/r/400/pic/cover/l/15/36/210458_Cn1uz.jpg,https://bangumi.tv/subject/210458
1003,圣斗士星矢,TV,114,1986-10-11,車田正美,小山高生、山崎忠昭、菅良幸、立川元教,古谷徹、江森浩子、魏晶琦、魏伯勤、鈴置洋孝、宋克軍、橋本晃一、劉傑、詹雅菁、堀川りょう、魏晶琦、堀秀行、楊凱凱、劉傑、潘恵子、楊凱凱、矢田耕司、小林通孝、塩沢兼人、劉傑、戸谷公次、宋克軍、平野正人、魏伯勤、目黒光祐、宋克軍、劉傑、曽我部和恭、宋克軍、三ツ矢雄二、劉傑、池田秀一、劉傑、納谷六朗、魏伯勤、田中秀幸、頓宮恭子、魏伯勤、屋良有作、宋克軍、難波圭一、魏伯勤、玄田哲章、宋克軍、田中亮一、劉傑、山本百合子、魏晶琦、小山茉美、詹雅菁、宮内幸平、劉傑、江森浩子、楊凱凱、広中雅志,7.5,1946,https://lain.bgm.tv/r/400/pic/cover/l/02/24/4843_ol9aY.jpg,https://bangumi.tv/subject/4843
1004,南方公园 第3季,TV,17,1999-04-07,未知,Trey Parker、Matt Stone,Matt Stone、Trey Parker、Matt Stone,7.6,207,https://lain.bgm.tv/r/400/pic/cover/l/14/12/56403_Bw4cQ.jpg,https://bangumi.tv/subject/56403
1005,凡人修仙传 第五季,WEB,52,2026-06-13,王裕仁、林宇昂,王裕仁,钱文青、李诗萌、青泯邑、乔苏、崔郅昊、轩ZONE、张惠霖、王语、万纯、青琳昊、李世荣、大昕、谢轶辉,7.5,348,https://lain.bgm.tv/r/400/pic/cover/l/ac/c9/607915_RBL8u.jpg,https://bangumi.tv/subject/607915
1006,剧场版 白箱,剧场版,1,2020-02-29,水島努,横手美智子,木村珠莉、佳村はるか、千菅春香、髙野麻美、大和田仁美、佐倉綾音、山岡ゆり、米澤円、葉山いくみ、井澤詩織、田丸篤志、松風雅也、中原麻衣、吉野裕行、小林裕介、檜山修之、こぶしのぶゆき、浜田賢二、斎藤寛仁、松本忍、間島淳司、高梨謙吾、伊藤静、日野まり、茅野愛衣、沼倉愛美、山川琴美、西地修哉、小柳基、興津和幸、高木渉、鈴村健一、櫻井孝宏、横尾まり、橋本ちなみ、岩田光央、野瀬育二、高橋李依、高橋伸也、伊藤静、菅原雅芳、保村真、高木渉、小西克幸、福島潤、高橋李依、森谷里美、木村珠莉、宮田幸季、金元寿子、千菅春香、山岡ゆり、米澤円、沼倉愛美、伊藤静、中原麻衣、伊藤静、茅野愛衣、大和田仁美,7.5,6103,https://lain.bgm.tv/r/400/pic/cover/l/12/f3/244761_tGK1D.jpg,https://bangumi.tv/subject/244761
1007,怪医黑杰克,TV,63,2004-10-11,手塚眞,青山弘、森絵都、森田眞由美、會川昇、竹内啓雄、西田正義、千葉克彦、吉村元希、手塚眞、大和屋暁、桑原智,大塚明夫、水谷優子、江森浩子、神奈延年、緑川光,7.5,673,https://lain.bgm.tv/r/400/pic/cover/l/25/46/46036_50zyF.jpg,https://bangumi.tv/subject/46036
1008,瑞克和莫蒂 第五季,TV,10,2021-06-20,Justin、Roiland,,Justin Roiland、Justin Roiland、Sarah Chalke、Chris Parnell、Spencer Grammer、Steve Buscemi,7.5,1985,https://lain.bgm.tv/r/400/pic/cover/l/a8/54/331936_8iIe9.jpg,https://bangumi.tv/subject/331936
1009,魔神英雄传,TV,45,1988-04-15,矢立肇,小山高生、井上敏樹、中弘子、平野靖士、丸尾みほ、高橋義昌、川崎ヒロユキ、鹿島典夫,田中真弓、刘艺、林原めぐみ、郝琳杰、西村知道、玄田哲章、伊倉一恵、山寺宏一、丸山裕子、緒方賢一、島香裕、江原正士、龍田直樹、笹岡繁蔵、千葉繁、郷里大輔、石塚運昇、島香裕、小杉十郎太、勝生真沙子、亀井三郎、水鳥鉄夫、緒方賢一、石塚運昇、江原正士、郷里大輔、石塚運昇、山田礼子、塩屋浩三、大塚芳忠、片岡富枝、山下啓介、郷里大輔、山寺宏一、塩屋浩三、安西正弘、峰あつ子、山寺宏一、戸谷公次、山寺宏一、飯塚昭三、戸谷公次、稲葉実、笹岡繁蔵、稲葉実、笹岡繁蔵、中村秀利、塩屋浩三,7.5,2060,https://lain.bgm.tv/r/400/pic/cover/l/c4/de/1972_It9qp.jpg,https://bangumi.tv/subject/1972
1010,水果篮子,TV,26,2001-07-05,大地丙太郎,池田眞美子、伊丹あき、中瀬理香,堀江由衣、久川綾、関智一、池田恭祐、置鮎龍太郎、今井由香、安原麗子、今井由香、若葉紫、宮本充、齋藤彩夏、名塚佳織、渕崎ゆり子、清水香里、鈴木薫、松本美和、陶山章央、岡村明美、井上和彦、冨永みーな、三石琴乃、南央美、町井美紀、井上倫宏、高橋美紀、七緒はるひ、安原麗子、浅井晴美、うえだゆうじ、梶田夕貴、岡村明美,7.5,2507,https://lain.bgm.tv/r/400/pic/cover/l/1f/50/880_Ny3w9.jpg,https://bangumi.tv/subject/880
1011,宇宙战舰大和号2199 第五章「望乡的银河间空间」,剧场版,4,2013-04-13,未知,大野木寛、武半慎吾、出渕裕,小野大輔、桑島法子、鈴村健一、菅生隆之、千葉繁、大塚芳忠、麦人、井上喜久子、山寺宏一、細谷佳正、田中理恵、久川綾,7.5,208,https://lain.bgm.tv/r/400/pic/cover/l/1c/96/66941_HAC96.jpg,https://bangumi.tv/subject/66941
1012,古诺希亚,TV,21,2025-10-11,市川量也,花田十輝,安済知佳、長谷川育美、鬼頭明里、瀬戸麻沙美、七海ひろき、早見沙織、関智一、中村悠一、佐倉綾音、津田健次郎、花澤香菜、江口拓也、大塚剛央、悠木碧,7.5,5572,https://lain.bgm.tv/r/400/pic/cover/l/17/82/526448_ssr71.jpg,https://bangumi.tv/subject/526448
1013,鲁邦三世 血烟的石川五右卫门,剧场版,2,2017-02-04,小池健,高橋悠也,栗田貫一、小林清志、沢城みゆき、浪川大輔、山寺宏一,7.5,733,https://lain.bgm.tv/r/400/pic/cover/l/b2/5f/192442_r9Bza.jpg,https://bangumi.tv/subject/192442
1014,精神分裂症,剧场版,1,2008-05-16,JérémyClapin,,,7.5,400,https://lain.bgm.tv/r/400/pic/cover/l/d0/5a/14542_5NK5N.jpg,https://bangumi.tv/subject/14542
1015,棒球大联盟 第五季,TV,25,2009-01-10,福島利規,,森久保祥太郎、森田成一、咲野俊介、落合弘治、内田夕夜、乃村健次、小杉十郎太、中國卓郎、浪川大輔、岩村琴美、金田朋子、本多陽子、堀内賢雄、草尾毅、モリノリ久、保村真、野島裕史、川田紳司、遠藤久美子、森川智之、西川葉月,7.5,226,https://lain.bgm.tv/r/400/pic/cover/l/7f/01/2889_14wA0.jpg,https://bangumi.tv/subject/2889
1016,辛普森一家 第一季,TV,13,1989-12-17,未知,,,7.5,246,https://lain.bgm.tv/r/400/pic/cover/l/be/e9/19889_1iI3k.jpg,https://bangumi.tv/subject/19889
1017,小魔女DoReMi ♯,TV,49,2000-02-06,東堂いづみ,吉田玲子、影山由美、大和屋暁、山田隆司、成田良美、前川淳、吉村元希,千葉千恵巳、秋谷智子、松岡由貴、宍戸留美、大谷育江、石毛佐和、永澤菜教、高村めぐみ,7.5,390,https://lain.bgm.tv/r/400/pic/cover/l/94/bd/14876_95Rgc.jpg,https://bangumi.tv/subject/14876
1018,无敌破坏王,剧场版,1,2012-11-02,未知,John C. Reilly,John C. Reilly、胡军、山寺宏一、Jane Lynch、黄雷、田村聖子、Raymond S. Persi、落合弘治、Reuben Langdon、Roger Craig Smith,7.5,2029,https://lain.bgm.tv/r/400/pic/cover/l/a1/81/50658_ymEpF.jpg,https://bangumi.tv/subject/50658
1019,同级生,剧场版,1,2016-02-20,中村章子,中村明日美子,神谷浩史、野島健児、石川英郎,7.5,1340,https://lain.bgm.tv/r/400/pic/cover/l/92/9c/128239_ziq91.jpg,https://bangumi.tv/subject/128239
1020,Re：从零开始的异世界生活,TV,25,2016-04-03,渡邊政治,横谷昌宏、中村能子、梅原英司,小林裕介、高橋李依、水瀬いのり、村川梨衣、新井里美、内山夕実、赤﨑千夏、中村悠一、能登麻美子、子安武人、田村ゆかり、藤原啓治、井口裕香、堀江由衣、堀内賢雄、石川界人、植田佳奈、江口拓也、松岡禎丞、麦人、山本格、室元気、山下大輝、三宅健太、田中あいみ、山村響、柳田淳一、山本兼平、高野麻里佳、小林由美子、石上静香、篠田みなみ、芳野由奈、鈴木絵理、桑原由気、木島隆一、伊沢磨紀、石谷春貴、木村亜希子、千葉進歩、手塚秀彰、名塚佳織、清川元夢、稲田徹、斉藤次郎、青山穣、天﨑滉平、家中宏、鳴海崇志、木島隆一、藤井ゆきよ、大川透、潘めぐみ、乃村健次、梅津秀行、髙橋ミナミ、下和田ヒロキ、日笠陽子、石狩勇気、金元寿子、飛田展男、佐々健太、林大地、野瀬育二、綿貫竜之介、相馬康一、柚木涼香、鳥海浩輔,7.5,24338,https://lain.bgm.tv/r/400/pic/cover/l/cb/78/140001_Ew1mo.jpg,https://bangumi.tv/subject/140001
1021,苍穹之法芙娜,TV,26,2004-07-04,羽原信義,山野辺一記、冲方丁,石井真、豊口めぐみ、喜安浩平、松本まりか、仲西環、松来未祐、入野自由、新井里美、斎賀みつき、白石稔、小林沙苗、白石涼子、福圓美里、佐々木望、田中正彦、土師孝也、篠原恵美、ゆかな、葛城七穂、堀秀行、石川静、高瀬右光、さとうあい、新垣樽助、玉川砂記子、京田尚子、沢海陽子、森功至、小杉十郎太、内田直哉、藤田淑子、真殿光昭、豊口めぐみ、ゆかな、白石涼子、中田譲治、小宮和枝、小山力也、ゆきのさつき,7.5,2057,https://lain.bgm.tv/r/400/pic/cover/l/ec/7f/2936_L8R68.jpg,https://bangumi.tv/subject/2936
1022,火凤燎原 第二季,WEB,16,2025-01-16,陳某,留安翊,沈磊、杜光祎、林景、张琦、凌振赫、蒋可、杨超然、吴磊、徐翔,7.5,259,https://lain.bgm.tv/r/400/pic/cover/l/8e/da/456163_B5C63.jpg,https://bangumi.tv/subject/456163
1023,超能勇士：变形金刚,TV,52,1996-09-16,未知,,Garry Chalk、子安武人、Scott McNeil、Scott McNeil、Garry Chalk、矢尾一樹,7.5,552,https://lain.bgm.tv/r/400/pic/cover/l/f4/d3/25716_kKmL9.jpg,https://bangumi.tv/subject/25716
1024,机器人之梦,剧场版,1,2023-05-20,PabloBerger,SaraVaron,,7.5,855,https://lain.bgm.tv/r/400/pic/cover/l/f7/fb/447503_batBi.jpg,https://bangumi.tv/subject/447503
1025,棒球大联盟 第六季,TV,25,2010-04-03,福島利規,満田拓也,森久保祥太郎、森田成一、咲野俊介、落合弘治、浪川大輔、朴璐美、石井康嗣、森川智之、金田朋子、本多陽子、内田夕夜、乃村健次、野島裕史、榎本温子、くまいもとこ、金光宣明,7.5,228,https://lain.bgm.tv/r/400/pic/cover/l/7d/62/4293_rqzH3.jpg,https://bangumi.tv/subject/4293
