排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
688,高达创形者 再起 2nd Season,WEB,13,2020-04-09,綿田慎也,ヤスカワショウゴ、山田靖智、むとうやすゆき、イシノアツオ,小林千晃、水中雅章、渕上舞、南真由、加隈亜衣、水瀬いのり、若山詩音、三村ゆうな、村田太志、諏訪部順一、逢坂良太、竹本英史、井上剛、藍原ことみ、高田憂希、泊明日菜、村瀬迪与、田中完、相馬康一、柳田淳一、沖野晃司、真木駿一、川田紳司、石田彰、赤﨑千夏、土師孝也、斉藤壮馬、速水奨、小林裕介、藤原夏海、照井春佳、笠間淳、沼倉愛美、松岡禎丞、羽多野渉、森なな子、山本兼平、東内マリ子、熊谷健太郎、山本祥太,7.6,1192,https://lain.bgm.tv/r/400/pic/cover/l/aa/d2/297261_XmMIk.jpg,https://bangumi.tv/subject/297261
689,画江湖之不良人 第四季,WEB,13,2021-04-29,未知,舒奕橙,边江、朱雀橙、阎萌萌、赵毅、关心、白雪岑、王凯、孟宇,7.7,564,https://lain.bgm.tv/r/400/pic/cover/l/c3/2e/313937_62WxP.jpg,https://bangumi.tv/subject/313937
690,好想告诉你 第二季,TV,13,2011-01-04,鏑木ひろ,長沼範裕、鏑木ひろ、金春智子,能登麻美子、浪川大輔、沢城みゆき、三瓶由布子、中村悠一、平野綾、宮野真守、小野友樹、宮川美保、羽多野渉、山中真尋、ユリン千晶、牧口真幸、稀代桜子、松山鷹志、たくみ靖明、坂熊孝彦、森沢芙美、鈴木琢磨、岡林史泰、宮川美保、坂熊孝彦、坂熊孝彦、伊瀬茉莉也、工藤晴香、金光宣明、徳本恭敏、坂熊孝彦、ささきのぞみ、たくみ靖明、牧口真幸、杉本ゆう、ユリン千晶、牧口真幸、宮川美保、長嶋はるか、長嶋はるか,7.6,4427,https://lain.bgm.tv/r/400/pic/cover/l/36/a7/9757_P0sls.jpg,https://bangumi.tv/subject/9757
691,剧场版 Fate/stay night [Heaven's Feel] I.presage flower,剧场版,1,2017-10-14,須藤友徳,桧山彬、ufotable、ufotable,杉山紀彰、王晨光、下屋則子、川澄綾子、白雪岑、関智一、門脇舞以、神谷浩史、中田譲治、赵铭洲、七緒はるひ、植田佳奈、伊藤美紀、褚珺、宮川美保、津嘉山正種、叶保华、水沢史絵、真殿光昭、神奈延年、浅川悠、三木眞一郎、田中敦子、諏訪部順一、てらそままさき、稲田徹、小山力也、川澄綾子、白雪岑,7.6,12797,https://lain.bgm.tv/r/400/pic/cover/l/34/9f/109375_o2NnF.jpg,https://bangumi.tv/subject/109375
692,请问您今天要来点兔子吗？BLOOM,TV,12,2020-10-10,橋本裕之,筆安一幸、井上美緒、橋本裕之,佐倉綾音、水瀬いのり、種田梨沙、佐藤聡美、内田真礼、徳井青空、村川梨衣、早見沙織、木村珠莉、茅野愛衣、速水奨、清川元夢、水樹奈々、皆口裕子、大西沙織、東地宏樹、一城みゆ希、日笠陽子、田澤茉純、嶺内ともみ、桑原由気、貫井柚佳、伊藤彩沙、白城なお,7.6,5164,https://lain.bgm.tv/r/400/pic/cover/l/0a/16/260770_x4N8v.jpg,https://bangumi.tv/subject/260770
693,你看起来很好吃,剧场版,1,2010-10-16,藤森雅也,村上修、じんのひろあき,愛河里花子、山口勝平、加藤清史郎、原田知世、川島得愛、折笠富美子、桐本拓哉、矢田稔、川村万梨阿,7.6,2901,https://lain.bgm.tv/r/400/pic/cover/l/ba/fd/13014_EZYvM.jpg,https://bangumi.tv/subject/13014
694,向阳素描×☆☆☆ 特别篇,OVA,2,2010-10-27,新房昭之,大嶋実句,阿澄佳奈、水橋かおり、後藤邑子、新谷良子、原田ひとみ、小見川千明、松来未祐、チョー、沢城みゆき、桑谷夏子、福圓美里、蒼樹うめ,7.6,835,https://lain.bgm.tv/r/400/pic/cover/l/26/86/9639_fY4eM.jpg,https://bangumi.tv/subject/9639
695,×××HOLiC 春梦记,OVA,2,2009-02-17,水島努,大川七瀬,福山潤、中井和哉、大原さやか、伊藤静、こじまかずこ、矢島晶子、武藤寿美、望月久代、菊地美香、入野自由、牧野由依,7.6,1755,https://lain.bgm.tv/r/400/pic/cover/l/25/ef/2898_xRJQx.jpg,https://bangumi.tv/subject/2898
696,刚巴的冒险,TV,26,1975-04-17,出﨑統,馬嶋満、金子裕、吉川惣司、高屋敷英夫、大和屋竺、竹内啓雄,,7.9,85,https://lain.bgm.tv/r/400/pic/cover/l/76/88/10397_J4Pdf.jpg,https://bangumi.tv/subject/10397
697,监狱兔 第四季,TV,13,2011-03-01,富岡聡,富岡聡,,7.6,2220,https://lain.bgm.tv/r/400/pic/cover/l/c5/fa/10553_BKepz.jpg,https://bangumi.tv/subject/10553
698,了不起的狐狸爸爸,剧场版,1,2009-10-25,Wes、Anderson,Wes Anderson、Noah Baumbach,George Clooney、てらそままさき、佐藤しのぶ、西健亮、Bill Murray、ふくまつ進紗、Willem Dafoe、青山穣、間宮康弘、Wes Anderson、Adrien Brody,7.7,476,https://lain.bgm.tv/r/400/pic/cover/l/66/18/96167_Z5Z44.jpg,https://bangumi.tv/subject/96167
699,心灵奇旅,剧场版,1,2020-12-25,Pete、Docter,Pete Docter,Jamie Foxx、Fortune Feimster,7.6,2525,https://lain.bgm.tv/r/400/pic/cover/l/2b/61/285074_Di95b.jpg,https://bangumi.tv/subject/285074
700,异兽魔都 第二季,WEB,11,2026-04-01,林祐一郎,瀬古浩司,高木渉、近藤玲奈、堀内賢雄、細谷佳正、小林ゆう、富田美憂、高梨謙吾、三木眞一郎、市来光弘、置鮎龍太郎、江川央生、鵜殿麻由、ソンド、稲田徹、郷田ほづみ、勝杏里、寺島拓篤、木村良平、梶裕貴、千葉繁、木村昴、内山昂輝、濱野大輝、弘松芹香、藍原ことみ、越村友一、宮﨑雅也、野村勝人、三木晶、伊丸岡篤、松本沙羅、小清水亜美、岩崎ひろし、増谷康紀、田丸篤志、近藤浩徳、河瀬茉希、河本邦弘、松田修平、岡本幸輔、島田岳洋、宮本誉之、阪口周平、岩澤俊樹、酒井広大、小若和郁那、福西勝也、間宮康弘、江頭宏哉、神田みか、山口眞弓、中野泰佑、稲田徹,7.6,1340,https://lain.bgm.tv/r/400/pic/cover/l/46/1d/474371_147kq.jpg,https://bangumi.tv/subject/474371
701,火影忍者疾风传,TV,500,2007-02-15,伊達勇登、小林治、今千秋、渡部穏寛、むらた雅彦,渡邊大輔、鈴木やすゆき、吉田伸、宮田由佳、都留稔幸、本田雅也、武上純希、赤星政尚、小林治、千葉克彦、田中秀人、彦久保雅博、下山健人、西園悟,竹内順子、杉山紀彰、東山奈央、中村千絵、田村睦心、鈴村健一、井上和彦、小暮英麻、江原正士、髙月希海、大塚芳忠、水樹奈々、川田紳司、鳥海浩輔、勝生真沙子、日野聡、遠近孝一、増川洋一、田村ゆかり、小山力也、森久保祥太郎、柚木涼香、伊藤健太郎、江原正士、牧口真幸、玄田哲章、朴璐美、石田彰、白石涼子、土師孝也、てらそままさき、矢島晶子、櫻井孝宏、小杉十郎太、寺崎裕香、石川英郎、川本克彦、高木渉、飛田展男、檀臣幸、くじら、竹内順子、神奈延年、根本圭子、落合るみ、加瀬康之、内田直哉、菅生隆之、堀内賢雄、河西健吾、柴田秀勝、森川智之、谷育子、城山堅、近藤隆、東條加那子、行成とあ、阪口周平、朝倉栄介、河野智之、潘めぐみ、小森創介、関俊彦、大谷育江、津田健次郎、家中宏、中村大樹、辻親八、岩崎ひろし、久嶋志帆、堀内賢雄、峯香織、田中敦子、篠原恵美、前野智昭、森田順平、宗矢樹頼、西村知道、菊本平、竹内良太、加藤将之、糸博、堀内賢雄、羽多野渉、坪井智浩、宮島依里、かないみか、園崎未恵、青山穣、桜井敏治、大塚明夫、上田燿司、森川智之、重松朋、平田広明、七緒はるひ、本田貴子、飛田展男、土田大、浅野まゆみ、石塚運昇、宗矢樹頼、渡部猛、西川幾雄、中村章吾、千田光男、重松朋、下屋則子、天田益男、沢木郁也、渡辺明乃、浦山迅、斧アツシ、細野雅世、よのひかり、江川央生、木内秀信、河西健吾、浅井清己、津田英三、宮田幸季、日野由利加、武田華、合田絵利、鈴木琢磨、白石涼子、保志総一朗、齋藤綾、小山茉美、織部ゆかり、能登麻美子、根本圭子、福田信昭、根本圭子、佐々木望、坂本真綾、中田譲治、田中正彦、渡辺英雄、高橋英則、坂巻学、翠準子、宮田光、西前忠久、手塚秀彰、小松由佳、玉野井直樹、内田夕夜、斧アツシ、平川大輔、中嶋佳葉、いなせあおい、石川綾乃、利根健太朗、加隈亜衣、千葉一伸、小林由美子、木島隆一、上田燿司、原田正夫、木川絵理子、園田恵子、東條加那子、小野未喜、中井和哉、上田燿司、伊丸岡篤、浅川悠、藤吉浩二、松田健一郎、細谷佳正、木村雅史、浜田賢二、長嶝高士、下山吉光、岐部公好、鈴村健一、豊口めぐみ、久嶋志帆、伊倉一恵、河西健吾、北川勝博、木川絵理子、興津和幸、松田健一郎、藤吉浩二,7.6,8011,https://lain.bgm.tv/r/400/pic/cover/l/60/24/2782_z3jWE.jpg,https://bangumi.tv/subject/2782
702,DARKER THAN BLACK -黑之契约者- 外传,OVA,4,2010-01-27,岡村天斎,菅正太郎,木内秀信、福圓美里,7.6,4552,https://lain.bgm.tv/r/400/pic/cover/l/ac/52/3960_cHx5y.jpg,https://bangumi.tv/subject/3960
703,和巴什尔跳华尔兹,剧场版,1,2008-05-13,阿里·福尔曼,,,7.7,293,https://lain.bgm.tv/r/400/pic/cover/l/3b/d4/2693_1fkTm.jpg,https://bangumi.tv/subject/2693
704,龙珠改,TV,98,2009-04-05,未知,,野沢雅子、野沢雅子、堀川りょう、佐藤正治、大友龍三郎、内海賢二、中尾隆聖、八奈見乗児、江森浩子、渡辺菜生子、島田敏、田中真弓、稲田徹、緑川光、古谷徹、三浦祥朗、長嶝高士、平野綾、石塚運昇、小西克幸、古川登志夫、鶴ひろみ、草尾毅、田中真弓、伊藤美紀、島田敏、牛田裕子、大友龍三郎、藤本たかひろ、龍田直樹、田中真弓、園部啓一、藤本たかひろ、沼田祐介、郷里大輔、郷里大輔、永井一郎、川津泰彦、千葉繁、竹本英史、田中亮一、八奈見乗児、川浪葉子、滝口順平、楠大典、吉水孝宏、佐々木誠二、岸尾だいすけ、小野坂昌也、高戸靖広、郷里大輔、千葉繁、西脇保,7.6,1616,https://lain.bgm.tv/r/400/pic/cover/l/7b/1c/2103_VR9mM.jpg,https://bangumi.tv/subject/2103
705,真盖塔 世界最后之日,OVA,13,1998-08-25,今川泰宏、川越淳,藤田伸三、福嶋幸典,石川英郎、内田直哉、関智一、日高奈留美、松本保典、坂口賢一,7.6,879,https://lain.bgm.tv/r/400/pic/cover/l/54/9c/23213_zZuh0.jpg,https://bangumi.tv/subject/23213
